Ссылка,Комнаты,Кв. метрыАдрес,Цена,Цена за кв.м
krisha.kz/a/show/697714874,1-комнатная квартира,34.4,"Есильский р-н, Вдоль ул. 37 39/1 — Ипотека возможна",19 500 000 〒,566860.47
krisha.kz/a/show/693834158,4-комнатная квартира,107.5,"Алматы р-н, Момышулы",55 000 000 〒,511627.91
krisha.kz/a/show/692127360,1-комнатная квартира,45.6,Туран 89/3,19 999 000 〒,438574.56
krisha.kz/a/show/698125118,2-комнатная квартира,61.28,"Нура р-н, Айтматова",от 14 747 500 〒,240657.64
krisha.kz/a/show/696723101,3-комнатная квартира,78.61,"Нура р-н, Айтматова",от 19 652 500 〒,250000.00
krisha.kz/a/show/691048367,4-комнатная квартира,109.8,"Нура р-н, Е-36 5",от 55 449 000 〒,505000.00
krisha.kz/a/show/697723481,4-комнатная квартира,99.09,"Есильский р-н, Туркестан 4/1 — Абу-Даби",45 500 000 〒,459178.52
krisha.kz/a/show/694707422,3-комнатная квартира,77.06,"Есильский р-н, Бухар Жырау 33",от 40 610 620 〒,527000.00
krisha.kz/a/show/697192413,1-комнатная квартира,32,"Сарыарка р-н, Тлендиева — Коктал 2",13 700 000 〒,428125.00
krisha.kz/a/show/696592268,3-комнатная квартира,81,"Нура р-н, Айтматова б\н",25 920 000 〒,320000.00
krisha.kz/a/show/696062297,3-комнатная квартира,67,"Алматы р-н, проспект Абылай хана 6/4 — Пушкина",30 500 000 〒,455223.88
krisha.kz/a/show/693303178,1-комнатная квартира,36,"р-н Байконур, Иманбаевой 10",20 600 000 〒,572222.22
krisha.kz/a/show/694508579,1-комнатная квартира,38.6,"Есильский р-н, Е-779 32",от 13 896 000 〒,360000.00
krisha.kz/a/show/691684957,2-комнатная квартира,57,"Алматы р-н, А. Байтурсынова 40",22 500 000 〒,394736.84
krisha.kz/a/show/698215356,3-комнатная квартира,70.92,"Алматы р-н, Сагадат Нурмагамбетов 17",от 32 694 120 〒,461000.00
krisha.kz/a/show/688743432,2-комнатная квартира,75,"р-н Байконур, Кенесары 65 — ТД Жанур",25 500 000 〒,340000.00
krisha.kz/a/show/692628424,3-комнатная квартира,70.93,"Нура р-н, Е 796 1",от 37 025 460 〒,522000.00
